Order ID,Order Date,Sales Region,Product Category,Sales Channel,Total Revenue ($),Customer Rating [Product Quality],Customer Rating [Delivery Speed]
ORD-3330,2025-01-03,East,Clothing,Online Store,741.55,Satisfied,Dissatisfied
ORD-6482,2025-01-05,East,Home Goods,Retail Branch,1485.78,Dissatisfied,Neutral
ORD-8718,2025-01-05,North,Electronics,Direct Sales,1279.09,Neutral,Satisfied
ORD-9615,2025-01-07,North,Home Goods,Online Store,1470.65,Dissatisfied,Neutral
ORD-3100,2025-01-07,East,Home Goods,Retail Branch,150.89,Neutral,Satisfied
ORD-9142,2025-01-08,South,Home Goods,Direct Sales,540.52,Neutral,Dissatisfied
ORD-8534,2025-01-08,North,Electronics,Online Store,233.26,Dissatisfied,Neutral
ORD-3029,2025-01-09,West,Clothing,Online Store,444.55,Satisfied,Dissatisfied
ORD-2812,2025-01-10,East,Software,Direct Sales,500.01,Satisfied,Dissatisfied
ORD-9604,2025-01-10,South,Home Goods,Retail Branch,422.34,Neutral,Dissatisfied
ORD-3598,2025-01-11,North,Electronics,Online Store,1302.26,Dissatisfied,Neutral
ORD-5824,2025-01-11,East,Home Goods,Retail Branch,930.0,Neutral,Neutral
ORD-1104,2025-01-12,East,Electronics,Retail Branch,779.7,Satisfied,Neutral
ORD-6388,2025-01-14,West,Electronics,Online Store,665.68,Satisfied,Neutral
ORD-6199,2025-01-14,North,Clothing,Online Store,1465.67,Neutral,Satisfied
ORD-6379,2025-01-14,East,Software,Direct Sales,547.3,Dissatisfied,Satisfied
ORD-1644,2025-01-18,North,Home Goods,Online Store,177.47,Satisfied,Neutral
ORD-2132,2025-01-19,North,Home Goods,Online Store,225.06,Dissatisfied,Satisfied
ORD-4298,2025-01-19,South,Clothing,Retail Branch,392.65,Neutral,Neutral
ORD-4505,2025-01-19,East,Clothing,Retail Branch,115.47,Satisfied,Neutral
ORD-2845,2025-01-20,South,Software,Online Store,1210.03,Satisfied,Satisfied
ORD-5531,2025-01-21,North,Home Goods,Retail Branch,1133.34,Neutral,Dissatisfied
ORD-4415,2025-01-21,South,Clothing,Direct Sales,596.45,Dissatisfied,Satisfied
ORD-3307,2025-01-22,North,Home Goods,Direct Sales,1397.02,Satisfied,Satisfied
ORD-3702,2025-01-22,East,Home Goods,Direct Sales,102.57,Neutral,Neutral
ORD-9584,2025-01-22,North,Home Goods,Online Store,340.65,Neutral,Neutral
ORD-8576,2025-01-22,North,Home Goods,Retail Branch,1052.19,Satisfied,Dissatisfied
ORD-6216,2025-01-22,North,Home Goods,Retail Branch,332.66,Satisfied,Neutral
ORD-7597,2025-01-23,South,Software,Direct Sales,1111.08,Dissatisfied,Neutral
ORD-5846,2025-01-23,West,Clothing,Online Store,750.5,Dissatisfied,Neutral
ORD-5784,2025-01-23,North,Home Goods,Online Store,654.14,Satisfied,Satisfied
ORD-6461,2025-01-24,South,Clothing,Online Store,793.85,Satisfied,Satisfied
ORD-8156,2025-01-24,West,Home Goods,Retail Branch,372.17,Dissatisfied,Neutral
ORD-5940,2025-01-25,East,Home Goods,Direct Sales,718.42,Satisfied,Neutral
ORD-2474,2025-01-26,East,Home Goods,Online Store,889.9,Neutral,Neutral
ORD-4754,2025-01-28,East,Home Goods,Online Store,749.55,Dissatisfied,Dissatisfied
ORD-9597,2025-01-28,East,Home Goods,Online Store,963.37,Neutral,Neutral
ORD-3794,2025-01-28,East,Software,Online Store,1274.43,Dissatisfied,Satisfied
ORD-1829,2025-01-28,East,Electronics,Retail Branch,1019.61,Satisfied,Neutral
ORD-7554,2025-01-30,East,Home Goods,Direct Sales,350.75,Satisfied,Satisfied
ORD-4484,2025-01-31,South,Clothing,Retail Branch,700.64,Neutral,Satisfied
ORD-2249,2025-01-31,East,Clothing,Direct Sales,335.36,Neutral,Satisfied
ORD-8261,2025-02-01,East,Home Goods,Online Store,1181.82,Dissatisfied,Satisfied
ORD-2332,2025-02-01,North,Electronics,Retail Branch,146.03,Neutral,Satisfied
ORD-1429,2025-02-01,East,Electronics,Direct Sales,1495.11,Satisfied,Satisfied
ORD-7243,2025-02-02,East,Software,Online Store,1083.48,Satisfied,Neutral
ORD-5122,2025-02-04,East,Home Goods,Online Store,558.71,Neutral,Dissatisfied
